City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
535,tashtagol,52.7657,87.8894,-0.89,100,81,0.69,RU,1670286997
536,kendari,-3.945,122.4989,84.33,66,100,4.27,ID,1670286998
537,hovd,48.0056,91.6419,1.18,79,47,3.6,MN,1670286998
538,male,4.1748,73.5089,82.35,78,75,4.61,MV,1670286998
539,pangnirtung,66.1451,-65.7125,19.69,97,100,3.87,CA,1670286999
540,cabedelo,-6.9811,-34.8339,77.67,76,3,11.86,BR,1670286999
541,shar,49.5886,81.0453,-12.71,100,100,1.25,KZ,1670286999
542,xuddur,4.1213,43.8894,70.97,85,21,11.05,SO,1670286999
543,egvekinot,66.3167,-179.1667,15.26,86,100,27.02,RU,1670287000
544,hamilton,39.1834,-84.5333,46.08,81,100,10.36,US,1670287000
545,qujing,25.4833,103.7833,50.63,76,100,11.9,CN,1670287000
546,san juan,-31.5375,-68.5364,91.04,19,0,15.77,AR,1670286760
547,oudtshoorn,-33.5907,22.2014,53.96,82,100,1.23,ZA,1670287001
548,loyga,61.0784,44.6075,10.53,95,100,5.53,RU,1670287001
549,nouadhibou,20.931,-17.0347,67.98,77,47,13.8,MR,1670287001
550,tyukalinsk,55.8732,72.1967,-10.12,100,92,3.24,RU,1670287002
551,nizhneudinsk,54.9076,99.0276,13.96,49,100,12.24,RU,1670286733
552,taoudenni,22.6783,-3.9836,77.88,20,0,4.76,ML,1670287002
553,wellington,-41.2866,174.7756,65.55,70,75,21.85,NZ,1670286955
554,mafinga,-7.25,35.0667,70.23,50,100,0.78,TZ,1670287003
555,necochea,-38.5473,-58.7368,79.39,45,0,21.52,AR,1670287003
556,manyana,-23.4,21.7167,69.22,18,5,5.95,BW,1670287003
557,christchurch,-43.5333,172.6333,66.33,65,20,24.16,NZ,1670286906
558,skjervoy,70.0311,20.9714,30.2,97,100,19.95,NO,1670287004
559,saint-jean-de-braye,47.913,1.9771,37.9,90,100,9.22,FR,1670287004
